playlist_id,user_id,name,description,is_public,created_at,updated_at
166,55,Party Playlist #166,A curated playlist by kenjiper119,True,2021-05-02 07:40:44,2021-05-02 07:40:44
167,55,Chill Vibes #167,A curated playlist by kenjiper119,True,2025-03-06 09:27:53,2025-03-06 09:27:53
168,55,Running Mix #168,A curated playlist by kenjiper119,False,2025-09-22 00:31:23,2025-09-22 00:31:23
169,55,Morning Coffee #169,A curated playlist by kenjiper119,True,2021-11-26 08:09:59,2021-11-26 08:09:59
170,55,Throwback #170,A curated playlist by kenjiper119,False,2023-12-03 13:06:32,2023-12-03 13:06:32
171,56,Study Session #171,A curated playlist by charlottehil354,True,2024-06-29 13:00:08,2024-06-29 13:00:08
172,57,Focus Time #172,A curated playlist by zoeyyam195,True,2023-06-15 14:04:27,2023-06-15 14:04:27
173,58,Workout Mix #173,A curated playlist by miguelsch58,False,2023-04-13 03:36:27,2023-04-13 03:36:27
174,58,Late Night #174,A curated playlist by miguelsch58,False,2020-05-14 23:46:26,2020-05-14 23:46:26
175,58,Mood Boost #175,A curated playlist by miguelsch58,False,2023-02-24 06:39:11,2023-02-24 06:39:11
176,58,My Favorites #176,A curated playlist by miguelsch58,False,2021-06-03 00:00:47,2021-06-03 00:00:47
177,59,Workout Mix #177,A curated playlist by lukenel738,False,2024-06-11 19:21:38,2024-06-11 19:21:38
178,59,Party Playlist #178,A curated playlist by lukenel738,True,2022-04-07 16:18:05,2022-04-07 16:18:05
179,59,Chill Vibes #179,A curated playlist by lukenel738,True,2025-04-13 21:47:09,2025-04-13 21:47:09
180,59,Study Session #180,A curated playlist by lukenel738,True,2025-02-27 22:44:29,2025-02-27 22:44:29
181,59,Study Session #181,A curated playlist by lukenel738,False,2020-12-28 19:39:52,2020-12-28 19:39:52
182,60,Relaxation #182,A curated playlist by rileysan60,True,2022-12-30 16:37:11,2022-12-30 16:37:11
183,61,Top Hits #183,A curated playlist by sebastianflo_music,True,2024-07-14 17:19:52,2024-07-14 17:19:52
184,61,Throwback #184,A curated playlist by sebastianflo_music,True,2024-08-07 21:12:34,2024-08-07 21:12:34
185,61,Top Hits #185,A curated playlist by sebastianflo_music,True,2022-12-23 05:40:47,2022-12-23 05:40:47
186,61,Throwback #186,A curated playlist by sebastianflo_music,False,2021-07-07 15:11:16,2021-07-07 15:11:16
187,61,Throwback #187,A curated playlist by sebastianflo_music,False,2020-02-21 16:29:32,2020-02-21 16:29:32
188,62,Late Night #188,A curated playlist by aidenram622,True,2025-12-19 11:16:24,2025-12-19 11:16:24
189,62,Throwback #189,A curated playlist by aidenram622,True,2023-02-19 07:44:58,2023-02-19 07:44:58
190,63,New Discoveries #190,A curated playlist by luciawal,True,2023-04-09 12:19:32,2023-04-09 12:19:32
191,63,Mood Boost #191,A curated playlist by luciawal,True,2025-03-15 06:51:09,2025-03-15 06:51:09
192,63,Mood Boost #192,A curated playlist by luciawal,True,2024-11-20 16:10:42,2024-11-20 16:10:42
193,63,Morning Coffee #193,A curated playlist by luciawal,True,2021-03-05 21:18:10,2021-03-05 21:18:10
194,63,Road Trip #194,A curated playlist by luciawal,False,2021-09-26 05:46:59,2021-09-26 05:46:59
195,64,Relaxation #195,A curated playlist by miasin689,True,2025-01-16 22:27:14,2025-01-16 22:27:14
196,64,Morning Coffee #196,A curated playlist by miasin689,True,2022-12-02 23:53:30,2022-12-02 23:53:30
197,64,Road Trip #197,A curated playlist by miasin689,False,2025-02-14 10:01:18,2025-02-14 10:01:18
198,64,Top Hits #198,A curated playlist by miasin689,False,2023-09-13 23:31:55,2023-09-13 23:31:55
199,64,New Discoveries #199,A curated playlist by miasin689,True,2020-01-29 01:30:32,2020-01-29 01:30:32
200,65,Relaxation #200,A curated playlist by avatho,False,2021-02-28 02:27:09,2021-02-28 02:27:09
201,65,Study Session #201,A curated playlist by avatho,True,2020-03-10 19:50:36,2020-03-10 19:50:36
202,65,Study Session #202,A curated playlist by avatho,True,2025-05-03 06:27:09,2025-05-03 06:27:09
203,66,Late Night #203,A curated playlist by zoeyyou66,False,2023-07-04 01:22:27,2023-07-04 01:22:27
204,66,Workout Mix #204,A curated playlist by zoeyyou66,True,2022-08-04 02:07:13,2022-08-04 02:07:13
205,66,Relaxation #205,A curated playlist by zoeyyou66,True,2024-11-18 15:34:26,2024-11-18 15:34:26
206,66,My Favorites #206,A curated playlist by zoeyyou66,False,2024-02-14 01:48:35,2024-02-14 01:48:35
207,66,Running Mix #207,A curated playlist by zoeyyou66,False,2020-01-12 22:52:15,2020-01-12 22:52:15
208,67,Top Hits #208,A curated playlist by carlosand_fan,False,2022-08-11 19:05:46,2022-08-11 19:05:46
209,67,Road Trip #209,A curated playlist by carlosand_fan,False,2024-03-27 07:50:50,2024-03-27 07:50:50
210,67,Top Hits #210,A curated playlist by carlosand_fan,False,2022-12-29 10:47:49,2022-12-29 10:47:49
211,67,Road Trip #211,A curated playlist by carlosand_fan,True,2024-11-08 23:14:55,2024-11-08 23:14:55
212,68,Running Mix #212,A curated playlist by ameliarob_music,True,2020-08-21 20:23:11,2020-08-21 20:23:11
213,68,New Discoveries #213,A curated playlist by ameliarob_music,False,2025-03-04 19:20:42,2025-03-04 19:20:42
214,68,Workout Mix #214,A curated playlist by ameliarob_music,True,2022-07-28 02:48:31,2022-07-28 02:48:31
215,69,Road Trip #215,A curated playlist by ahmedflo_fan,True,2022-01-23 12:29:12,2022-01-23 12:29:12
216,69,Top Hits #216,A curated playlist by ahmedflo_fan,True,2024-05-31 10:30:59,2024-05-31 10:30:59
217,69,Late Night #217,A curated playlist by ahmedflo_fan,False,2021-10-02 19:42:08,2021-10-02 19:42:08
218,69,Running Mix #218,A curated playlist by ahmedflo_fan,False,2024-12-11 17:38:40,2024-12-11 17:38:40
219,70,Road Trip #219,A curated playlist by scarlettcar861,False,2023-03-29 04:02:42,2023-03-29 04:02:42
220,71,Road Trip #220,A curated playlist by samuelmoo80,True,2020-03-27 20:25:46,2020-03-27 20:25:46
221,71,My Favorites #221,A curated playlist by samuelmoo80,False,2022-09-08 21:26:03,2022-09-08 21:26:03
222,71,Top Hits #222,A curated playlist by samuelmoo80,False,2021-06-01 19:27:53,2021-06-01 19:27:53
223,71,New Discoveries #223,A curated playlist by samuelmoo80,True,2024-05-18 08:00:29,2024-05-18 08:00:29
224,71,Morning Coffee #224,A curated playlist by samuelmoo80,True,2020-01-31 19:08:57,2020-01-31 19:08:57
225,72,Chill Vibes #225,A curated playlist by sakuragar72,True,2020-04-07 13:16:54,2020-04-07 13:16:54
226,73,My Favorites #226,A curated playlist by olivercla_fan,True,2023-11-26 01:43:44,2023-11-26 01:43:44
227,73,Road Trip #227,A curated playlist by olivercla_fan,False,2023-05-28 10:10:32,2023-05-28 10:10:32
228,74,My Favorites #228,A curated playlist by yukihar,False,2020-07-09 03:53:29,2020-07-09 03:53:29
229,74,Road Trip #229,A curated playlist by yukihar,False,2021-07-10 13:45:29,2021-07-10 13:45:29
230,74,Morning Coffee #230,A curated playlist by yukihar,False,2022-02-23 23:53:38,2022-02-23 23:53:38
231,74,New Discoveries #231,A curated playlist by yukihar,True,2020-11-20 06:44:17,2020-11-20 06:44:17
232,74,Running Mix #232,A curated playlist by yukihar,False,2020-01-02 16:37:14,2020-01-02 16:37:14
233,75,Party Playlist #233,A curated playlist by sophiesmi_music,False,2024-09-22 00:24:03,2024-09-22 00:24:03
234,75,Morning Coffee #234,A curated playlist by sophiesmi_music,True,2020-05-07 20:17:33,2020-05-07 20:17:33
235,75,Top Hits #235,A curated playlist by sophiesmi_music,False,2022-08-05 23:29:26,2022-08-05 23:29:26
236,75,Party Playlist #236,A curated playlist by sophiesmi_music,False,2024-09-08 02:24:06,2024-09-08 02:24:06
237,75,Throwback #237,A curated playlist by sophiesmi_music,True,2025-01-22 14:44:35,2025-01-22 14:44:35
238,76,Running Mix #238,A curated playlist by hansand_music,True,2020-11-25 06:54:42,2020-11-25 06:54:42
239,76,Mood Boost #239,A curated playlist by hansand_music,True,2023-07-16 10:45:49,2023-07-16 10:45:49
240,76,Chill Vibes #240,A curated playlist by hansand_music,True,2020-02-15 06:20:06,2020-02-15 06:20:06
241,77,My Favorites #241,A curated playlist by abigailche77,True,2020-02-09 12:52:19,2020-02-09 12:52:19
242,77,My Favorites #242,A curated playlist by abigailche77,False,2021-10-23 07:32:58,2021-10-23 07:32:58
243,77,Throwback #243,A curated playlist by abigailche77,True,2022-12-07 14:36:30,2022-12-07 14:36:30
244,78,Relaxation #244,A curated playlist by oliviagar_music,False,2020-11-12 08:26:12,2020-11-12 08:26:12
245,78,Top Hits #245,A curated playlist by oliviagar_music,True,2023-01-10 17:09:12,2023-01-10 17:09:12
246,78,Focus Time #246,A curated playlist by oliviagar_music,True,2020-02-23 17:02:29,2020-02-23 17:02:29
247,78,Road Trip #247,A curated playlist by oliviagar_music,True,2023-04-18 14:49:45,2023-04-18 14:49:45
248,79,New Discoveries #248,A curated playlist by rileywil335,False,2022-03-22 01:59:15,2022-03-22 01:59:15
249,79,Mood Boost #249,A curated playlist by rileywil335,True,2021-08-18 05:22:53,2021-08-18 05:22:53
250,79,Top Hits #250,A curated playlist by rileywil335,True,2024-08-08 22:53:57,2024-08-08 22:53:57
251,79,Study Session #251,A curated playlist by rileywil335,False,2023-09-04 03:44:53,2023-09-04 03:44:53
252,79,Running Mix #252,A curated playlist by rileywil335,True,2020-06-09 21:28:02,2020-06-09 21:28:02
253,80,Workout Mix #253,A curated playlist by ryanche,False,2025-07-23 18:00:49,2025-07-23 18:00:49
254,81,Late Night #254,A curated playlist by owenada,False,2021-05-18 07:15:31,2021-05-18 07:15:31
255,81,My Favorites #255,A curated playlist by owenada,True,2020-04-18 11:47:04,2020-04-18 11:47:04
256,81,New Discoveries #256,A curated playlist by owenada,True,2025-05-14 12:30:50,2025-05-14 12:30:50
257,81,Morning Coffee #257,A curated playlist by owenada,False,2023-08-21 21:37:16,2023-08-21 21:37:16
