artist_id,name,bio,country,formed_year,monthly_listeners,verified,created_at
23,Tiger Eye,Biography of Tiger Eye. A talented musical act known for their unique sound.,Mexico,1988,1892634,False,2020-11-03 20:10:23
24,Wolf Pack,Biography of Wolf Pack. A talented musical act known for their unique sound.,Singapore,2002,9802203,True,2020-04-29 00:05:35
25,Eagle Soar,Biography of Eagle Soar. A talented musical act known for their unique sound.,South Korea,2020,46713600,True,2023-12-28 11:23:11
26,DJ Nexus,Biography of DJ Nexus. A talented musical act known for their unique sound.,Sweden,1960,5317751,True,2022-03-06 03:04:16
27,MC Thunder,Biography of MC Thunder. A talented musical act known for their unique sound.,Spain,1979,36830629,False,2020-12-11 10:41:35
28,The Groove Machine,Biography of The Groove Machine. A talented musical act known for their unique sound.,Poland,1996,15948765,False,2021-01-13 13:40:16
29,Funky Town,Biography of Funky Town. A talented musical act known for their unique sound.,United Kingdom,1990,28175015,False,2020-07-14 03:14:27
30,Rhythm Nation,Biography of Rhythm Nation. A talented musical act known for their unique sound.,Australia,2023,40047479,True,2025-05-17 09:58:32
31,Classical Fusion,Biography of Classical Fusion. A talented musical act known for their unique sound.,Denmark,1990,48221693,True,2022-06-23 22:48:48
32,Opera Elite,Biography of Opera Elite. A talented musical act known for their unique sound.,Netherlands,1960,41260172,False,2022-01-17 09:46:11
33,Symphony Stars,Biography of Symphony Stars. A talented musical act known for their unique sound.,Switzerland,2013,12571423,True,2024-06-14 09:50:14
34,Chamber Sounds,Biography of Chamber Sounds. A talented musical act known for their unique sound.,Mexico,1968,35304251,True,2023-04-28 02:20:25
35,Baroque Masters,Biography of Baroque Masters. A talented musical act known for their unique sound.,Norway,1965,42660144,False,2023-03-05 19:26:37
36,Country Roads,Biography of Country Roads. A talented musical act known for their unique sound.,Japan,1962,23965164,True,2022-12-07 06:20:15
37,Nashville Nights,Biography of Nashville Nights. A talented musical act known for their unique sound.,Italy,1973,39051870,False,2021-02-18 11:44:25
38,Bluegrass Legends,Biography of Bluegrass Legends. A talented musical act known for their unique sound.,United Kingdom,2005,36643362,False,2025-06-20 02:18:55
39,Honky Tonk Heroes,Biography of Honky Tonk Heroes. A talented musical act known for their unique sound.,France,2019,46667782,False,2025-05-16 17:38:21
40,Western Wind,Biography of Western Wind. A talented musical act known for their unique sound.,France,1977,4235605,False,2020-04-24 21:42:41
41,Reggae Vibes,Biography of Reggae Vibes. A talented musical act known for their unique sound.,South Korea,1985,2940789,True,2020-05-10 04:44:00
42,Island Beats,Biography of Island Beats. A talented musical act known for their unique sound.,Brazil,1999,34587807,False,2024-08-14 03:18:12
43,Caribbean Soul,Biography of Caribbean Soul. A talented musical act known for their unique sound.,Norway,1992,2458578,True,2022-06-07 21:58:28
44,Tropical Storm,Biography of Tropical Storm. A talented musical act known for their unique sound.,Mexico,1966,44006387,False,2022-04-28 20:30:25
45,Beach Boys Band,Biography of Beach Boys Band. A talented musical act known for their unique sound.,Australia,2007,29324310,False,2023-09-28 05:08:23
46,Hip Hop Kings,Biography of Hip Hop Kings. A talented musical act known for their unique sound.,India,2003,12538091,False,2025-11-20 04:22:00
47,Rap Elite,Biography of Rap Elite. A talented musical act known for their unique sound.,Norway,2007,34849012,False,2020-09-13 15:57:37
48,Street Poets,Biography of Street Poets. A talented musical act known for their unique sound.,Portugal,2014,5297701,False,2025-02-14 18:10:24
49,Flow Masters,Biography of Flow Masters. A talented musical act known for their unique sound.,France,1997,21557134,True,2020-09-05 18:22:15
50,Lyrical Genius,Biography of Lyrical Genius. A talented musical act known for their unique sound.,Brazil,1997,20569588,False,2025-02-15 06:43:31
51,Metal Thunder,Biography of Metal Thunder. A talented musical act known for their unique sound.,Singapore,2014,11184341,False,2022-12-28 05:14:35
52,Death Valley,Biography of Death Valley. A talented musical act known for their unique sound.,Sweden,1965,48776688,False,2025-03-25 06:38:57
53,Iron Maiden Tribute,Biography of Iron Maiden Tribute. A talented musical act known for their unique sound.,Netherlands,1995,42915058,True,2020-08-21 03:28:29
54,Heavy Hearts,Biography of Heavy Hearts. A talented musical act known for their unique sound.,New Zealand,2011,24382397,True,2020-04-06 18:00:47
55,Screaming Eagles,Biography of Screaming Eagles. A talented musical act known for their unique sound.,Germany,2016,2336319,True,2020-07-27 21:16:58
56,Pop Sensation,Biography of Pop Sensation. A talented musical act known for their unique sound.,Italy,2006,24304514,False,2024-10-28 08:49:35
57,Teen Dream,Biography of Teen Dream. A talented musical act known for their unique sound.,United Kingdom,1979,45572083,False,2023-02-26 13:07:07
58,Bubble Gum,Biography of Bubble Gum. A talented musical act known for their unique sound.,Mexico,2016,5160693,True,2024-07-02 23:23:25
59,Candy Pop,Biography of Candy Pop. A talented musical act known for their unique sound.,Mexico,2010,21099049,False,2022-02-14 12:23:37
60,Star Light,Biography of Star Light. A talented musical act known for their unique sound.,Australia,1963,49371304,True,2024-03-30 11:24:53
61,EDM Collective,Biography of EDM Collective. A talented musical act known for their unique sound.,Denmark,2009,37694217,True,2022-03-24 07:29:00
62,Trance Nation,Biography of Trance Nation. A talented musical act known for their unique sound.,Poland,1993,47248177,False,2021-10-28 15:31:48
63,House Party,Biography of House Party. A talented musical act known for their unique sound.,Austria,1996,46573252,False,2021-09-13 22:22:44
64,Techno Tribe,Biography of Techno Tribe. A talented musical act known for their unique sound.,Australia,1977,4970548,False,2021-06-20 10:11:28
65,Dubstep Dragons,Biography of Dubstep Dragons. A talented musical act known for their unique sound.,Singapore,2016,5892536,False,2025-09-05 21:44:38
66,R&B Smooth,Biography of R&B Smooth. A talented musical act known for their unique sound.,Mexico,1968,36910683,False,2022-07-20 22:23:27
67,Soul Train,Biography of Soul Train. A talented musical act known for their unique sound.,France,1982,24260329,True,2021-01-12 01:26:24
68,Motown Revival,Biography of Motown Revival. A talented musical act known for their unique sound.,Spain,1977,15888096,False,2020-03-22 15:52:45
69,Funk Factory,Biography of Funk Factory. A talented musical act known for their unique sound.,Mexico,2007,31368074,True,2025-03-16 06:10:36
70,Disco Nights,Biography of Disco Nights. A talented musical act known for their unique sound.,Canada,1968,20757148,False,2024-01-27 03:51:26
71,Alternative Edge,Biography of Alternative Edge. A talented musical act known for their unique sound.,Denmark,2012,27477618,True,2021-01-24 09:02:31
72,Grunge Revival,Biography of Grunge Revival. A talented musical act known for their unique sound.,Brazil,1969,30198277,False,2025-10-14 00:36:06
73,Punk Rock Rebels,Biography of Punk Rock Rebels. A talented musical act known for their unique sound.,Denmark,2004,8613389,True,2021-02-04 21:23:41
74,Emo Hearts,Biography of Emo Hearts. A talented musical act known for their unique sound.,Netherlands,1967,8333311,True,2022-08-02 21:10:11
75,Gothic Dreams,Biography of Gothic Dreams. A talented musical act known for their unique sound.,France,1980,21654396,True,2022-12-11 01:21:03
76,World Music Ensemble,Biography of World Music Ensemble. A talented musical act known for their unique sound.,Denmark,1996,5293198,False,2021-09-01 21:19:54
77,African Rhythms,Biography of African Rhythms. A talented musical act known for their unique sound.,Ireland,1995,8401036,False,2025-03-23 23:05:35
78,Asian Fusion,Biography of Asian Fusion. A talented musical act known for their unique sound.,Belgium,1971,33728112,True,2025-01-12 16:26:09
79,Latin Fire,Biography of Latin Fire. A talented musical act known for their unique sound.,Switzerland,1979,11490079,False,2024-10-17 02:24:24
80,Celtic Spirit,Biography of Celtic Spirit. A talented musical act known for their unique sound.,United Kingdom,1963,5451773,True,2025-06-15 22:15:24
