subscription_id,user_id,plan_type,start_date,end_date,price,is_active,payment_method
179,129,student,9/20/2024,8/27/2025,5.99,FALSE,paypal
180,129,duo,4/23/2023,,14.99,TRUE,google_pay
181,130,free,12/3/2022,,0,TRUE,
182,131,student,2/20/2024,8/11/2024,5.99,FALSE,google_pay
183,131,free,4/29/2024,,0,TRUE,
184,132,family,6/7/2024,8/13/2024,16.99,FALSE,google_pay
185,132,premium,9/12/2023,,9.99,TRUE,google_pay
186,133,family,4/18/2024,,16.99,TRUE,apple_pay
187,134,student,5/23/2024,,5.99,TRUE,credit_card
188,135,family,1/6/2021,5/5/2025,16.99,FALSE,credit_card
189,135,duo,11/20/2022,9/2/2024,14.99,FALSE,google_pay
190,135,student,3/16/2024,,5.99,TRUE,paypal
191,136,duo,12/2/2024,,14.99,TRUE,google_pay
192,137,family,7/18/2023,7/20/2024,16.99,FALSE,debit_card
193,137,duo,8/14/2023,,14.99,TRUE,credit_card
194,138,family,3/20/2021,2/24/2025,16.99,FALSE,debit_card
195,138,family,6/27/2022,10/7/2025,16.99,FALSE,credit_card
196,138,student,10/11/2022,,5.99,TRUE,google_pay
197,139,student,8/28/2023,,5.99,TRUE,google_pay
198,140,family,5/27/2021,,16.99,TRUE,paypal
199,141,duo,12/17/2020,1/14/2025,14.99,FALSE,google_pay
200,141,premium,6/20/2021,,9.99,TRUE,google_pay
201,142,duo,1/14/2020,,14.99,TRUE,google_pay
202,143,family,3/17/2023,,16.99,TRUE,debit_card
203,144,duo,3/19/2023,,14.99,TRUE,debit_card
204,145,free,12/10/2021,,0,TRUE,
205,146,student,3/7/2022,,5.99,TRUE,google_pay
206,147,duo,2/2/2024,,14.99,TRUE,paypal
207,148,free,1/30/2023,10/13/2024,0,FALSE,
208,148,free,2/25/2022,,0,TRUE,
209,149,student,5/8/2020,,5.99,TRUE,paypal
210,150,student,2/3/2023,,5.99,TRUE,apple_pay
211,151,free,3/2/2020,11/30/2024,0,FALSE,
212,151,student,4/22/2022,,5.99,TRUE,debit_card
213,152,student,12/31/2020,10/10/2024,5.99,FALSE,apple_pay
214,152,premium,3/6/2020,,9.99,TRUE,debit_card
215,153,family,3/23/2024,11/30/2025,16.99,FALSE,apple_pay
216,153,duo,2/17/2024,2/28/2025,14.99,FALSE,paypal
217,153,premium,11/17/2021,,9.99,TRUE,apple_pay
218,154,student,3/11/2022,,5.99,TRUE,apple_pay
219,155,student,1/29/2024,9/13/2024,5.99,FALSE,debit_card
220,155,premium,4/8/2024,11/7/2024,9.99,FALSE,credit_card
221,155,premium,7/21/2021,,9.99,TRUE,paypal
222,156,free,1/3/2022,,0,TRUE,
223,157,student,6/5/2023,8/14/2025,5.99,FALSE,google_pay
224,157,family,6/27/2021,,16.99,TRUE,credit_card
225,158,family,5/15/2020,,16.99,TRUE,google_pay
226,159,duo,2/20/2021,,14.99,TRUE,debit_card
227,160,student,10/16/2020,,5.99,TRUE,google_pay
228,161,free,11/12/2022,,0,TRUE,
229,162,premium,9/20/2022,,9.99,TRUE,credit_card
230,163,duo,5/7/2022,,14.99,TRUE,credit_card
231,164,premium,4/7/2021,12/7/2025,9.99,FALSE,google_pay
232,164,duo,2/11/2020,10/10/2024,14.99,FALSE,apple_pay
233,164,premium,11/7/2020,,9.99,TRUE,apple_pay
234,165,premium,9/20/2020,10/6/2024,9.99,FALSE,debit_card
235,165,student,10/8/2021,,5.99,TRUE,google_pay
236,166,free,7/29/2020,3/12/2025,0,FALSE,
237,166,premium,12/5/2021,,9.99,TRUE,google_pay
238,167,duo,9/15/2024,,14.99,TRUE,apple_pay
239,168,duo,1/24/2022,3/13/2024,14.99,FALSE,credit_card
240,168,family,10/3/2023,3/28/2025,16.99,FALSE,apple_pay
241,168,student,9/4/2024,,5.99,TRUE,credit_card
242,169,free,11/9/2023,,0,TRUE,
243,170,premium,12/8/2022,,9.99,TRUE,credit_card
244,171,student,10/18/2020,,5.99,TRUE,apple_pay
245,172,student,12/8/2024,,5.99,TRUE,credit_card
246,173,duo,5/14/2020,,14.99,TRUE,google_pay
247,174,premium,11/6/2023,,9.99,TRUE,paypal
248,175,family,3/16/2020,5/13/2024,16.99,FALSE,apple_pay
249,175,free,9/30/2023,,0,TRUE,
250,176,premium,11/12/2021,,9.99,TRUE,google_pay
251,177,duo,3/8/2024,8/3/2025,14.99,FALSE,apple_pay
252,177,family,7/22/2023,,16.99,TRUE,debit_card
253,178,family,5/4/2020,,16.99,TRUE,google_pay
254,179,duo,8/17/2021,6/11/2024,14.99,FALSE,credit_card
255,179,family,6/5/2023,,16.99,TRUE,paypal
256,180,duo,1/1/2021,,14.99,TRUE,google_pay
257,181,student,10/3/2023,,5.99,TRUE,paypal
258,182,family,4/10/2021,,16.99,TRUE,google_pay
259,183,duo,11/24/2022,,14.99,TRUE,credit_card
260,184,family,8/14/2023,,16.99,TRUE,debit_card
261,185,premium,10/9/2023,11/10/2024,9.99,FALSE,credit_card
262,185,premium,3/1/2024,,9.99,TRUE,debit_card
263,186,premium,7/2/2024,,9.99,TRUE,debit_card
264,187,family,9/15/2024,11/23/2024,16.99,FALSE,google_pay
265,187,free,5/15/2023,10/12/2025,0,FALSE,
266,187,family,9/27/2021,,16.99,TRUE,paypal
267,188,free,4/21/2024,,0,TRUE,
268,189,free,12/2/2022,10/30/2024,0,FALSE,
269,189,premium,6/18/2024,4/23/2025,9.99,FALSE,debit_card
270,189,family,6/3/2023,,16.99,TRUE,google_pay
271,190,premium,7/9/2020,,9.99,TRUE,paypal
272,191,duo,5/26/2022,,14.99,TRUE,paypal
273,192,duo,8/20/2024,9/16/2024,14.99,FALSE,google_pay
274,192,student,6/11/2020,,5.99,TRUE,debit_card
275,193,family,10/30/2020,,16.99,TRUE,google_pay
276,194,free,9/3/2020,,0,TRUE,
277,195,student,11/19/2020,,5.99,TRUE,paypal
278,196,family,11/7/2020,,16.99,TRUE,credit_card
279,197,premium,11/19/2024,,9.99,TRUE,debit_card
280,198,premium,5/31/2021,,9.99,TRUE,paypal
281,199,student,6/26/2024,,5.99,TRUE,debit_card
282,200,premium,1/21/2024,2/8/2024,9.99,FALSE,apple_pay
283,200,student,12/18/2021,,5.99,TRUE,paypal
